Country,EU27,Agglomeration Name,Nr Inhabitants,Area (km2),Nr of people exposed to different noise bands (Lden),,,,,,,Nr of people exposed to different noise bands (Lnight),,,,,,,DF4_8 Date Released,Data Source,URL
,,,,,45-49,50-54,55-59,60-64,65-69,70-74,>75,40-44,45-49,50-54,55-59    ,60-64    ,65-69    ,>70,,,
Austria,EU27,Graz,291000,128,No data ,No data ,0,0,0,0,0,No data ,0,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Austria,EU27,Innsbruck,144200,47,No data ,No data ,0,0,0,0,0,No data ,0,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Austria,EU27,Linz,260300,136,No data ,No data ,4000,800,300,100,100,No data ,12700,600,100,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Austria,EU27,Salzburg,155000,66,No data ,No data ,0,0,0,0,0,No data ,0,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Austria,EU27,Vienna,1977300,456,No data ,No data ,0,0,0,0,0,No data ,900,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Belgium,EU27,Antwerp,530630,204.37,No data ,No data ,5300,1500,400,0,0,No data ,No data ,4000,1300,100,0,0,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Belgium,EU27,Bruges,118509,140.88,No data ,No data ,2300,1000,300,0,0,No data ,No data ,1400,600,100,0,0,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Belgium,EU27,Brussels,1222637,162.43,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Belgium,EU27,Charleroi,202421,102.95,No data ,1200,200,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
