Country,Region,Agglomeration,Population,Area_km2,Lden_45_49,Lden_50_54,Lden_55_59,Lden_60_64,Lden_65_69,Lden_70_74,Lden_over_75,Lnight_40_44,Lnight_45_49,Lnight_50_54,Lnight_55_59,Lnight_60_64,Lnight_65_69,Lnight_over_70,Date_Released,Data_Source,URL,Total_Lden,Total_Lnight,Lden_45_49_pct,Lden_50_54_pct,Lden_55_59_pct,Lden_60_64_pct,Lden_65_69_pct,Lden_70_74_pct,Lden_over_75_pct,Lnight_40_44_pct,Lnight_45_49_pct,Lnight_50_54_pct,Lnight_55_59_pct,Lnight_60_64_pct,Lnight_65_69_pct,Lnight_over_70_pct,Total_Lden_pct,Total_Lnight_pct,Lden_45_49_pct_pct,Lden_50_54_pct_pct,Lden_55_59_pct_pct,Lden_60_64_pct_pct,Lden_65_69_pct_pct,Lden_70_74_pct_pct,Lden_over_75_pct_pct,Lnight_40_44_pct_pct,Lnight_45_49_pct_pct,Lnight_50_54_pct_pct,Lnight_55_59_pct_pct,Lnight_60_64_pct_pct,Lnight_65_69_pct_pct,Lnight_over_70_pct_pct
Austria,EU27,Graz,291000.0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU27,Innsbruck,144200.0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU27,Linz,260300.0,136,0,0,4000,800,300,100,100,0,12700,600,100,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,5300,13400,0.0,0.0,1.54,0.31,0.12,0.04,0.04,0.0,4.88,0.23,0.04,0.0,0.0,0.0,2.04,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU27,Salzburg,155000.0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,EU27,Vienna,1977300.0,456,0,0,0,0,0,0,0,0,900,0,0,0,0,0,2023-10-25,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,EU27,Antwerp,530630.0,204.37,0,0,5300,1500,400,0,0,0,0,4000,1300,100,0,0,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873,7200,5400,0.0,0.0,1.0,0.28,0.08,0.0,0.0,0.0,0.0,0.75,0.24,0.02,0.0,0.0,1.36,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,EU27,Bruges,118509.0,140.88,0,0,2300,1000,300,0,0,0,0,1400,600,100,0,0,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873,3600,2100,0.0,0.0,1.94,0.84,0.25,0.0,0.0,0.0,0.0,1.18,0.51,0.08,0.0,0.0,3.04,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,EU27,Brussels,1222637.0,162.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,EU27,Charleroi,202421.0,102.95,0,1200,200,0,0,0,0,0,0,0,0,0,0,0,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873,1400,0,0.0,0.59,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,EU27,Ghent,265086.0,157.71,0,0,13200,6500,2600,1200,500,0,0,11100,4600,2000,1100,300,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873,24000,19100,0.0,0.0,4.98,2.45,0.98,0.45,0.19,0.0,0.0,4.19,1.74,0.75,0.41,0.11,9.05,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
