Country,Population,Area_km2,Lden_45_49,Lden_50_54,Lden_55_59,Lden_60_64,Lden_65_69,Lden_70_74,Lden_over_75,Lnight_40_44,Lnight_45_49,Lnight_50_54,Lnight_55_59,Lnight_60_64,Lnight_65_69,Lnight_over_70,Total_Lden,Total_Lnight,Lden_45_49_pct,Lden_50_54_pct,Lden_55_59_pct,Lden_60_64_pct,Lden_65_69_pct,Lden_70_74_pct,Lden_over_75_pct,Lnight_40_44_pct,Lnight_45_49_pct,Lnight_50_54_pct,Lnight_55_59_pct,Lnight_60_64_pct,Lnight_65_69_pct,Lnight_over_70_pct,Total_Lden_pct,Total_Lnight_pct
Austria,2827800.0,1284713666456,0,0,4000,800,300,100,100,0,13600,600,100,0,0,0,5300,14300,0.0,0.0,0.14,0.03,0.01,0.0,0.0,0.0,0.48,0.02,0.0,0.0,0.0,0.0,0.19,0.51
Belgium,2636797.0,204.37140.88162.43102.95157.7157.568.65,0,2700,21400,9000,3300,1200,500,0,0,16500,6500,2200,1100,300,38100,26600,0.0,0.1,0.81,0.34,0.13,0.05,0.02,0.0,0.0,0.63,0.25,0.08,0.04,0.01,1.44,1.01
Bulgaria,2586342.0,253.6485101.9812712482196154.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,1035672.0,43.3879.39641.24,0,600,100,0,0,0,0,0,0,200,0,0,0,0,700,200,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.07,0.02
Cyprus,605536.0,88.8870.7698.9544.57,47800,25700,9200,1400,400,200,0,0,18500,5100,1000,300,0,0,84700,24900,7.89,4.24,1.52,0.23,0.07,0.03,0.0,0.0,3.06,0.84,0.17,0.05,0.0,0.0,13.99,4.11
Czech Republic,2951313.0,328160105248184772171,0,6600,1500,500,200,0,0,4500,1300,300,0,0,0,0,8800,6100,0.0,0.22,0.05,0.02,0.01,0.0,0.0,0.15,0.04,0.01,0.0,0.0,0.0,0.0,0.3,0.21
Denmark,1840579.0,6682384101,0,0,400,0,0,0,0,0,0,100,0,0,0,0,400,100,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01
Estonia,540359.0,159154,13800,6800,2000,900,100,100,400,0,4900,1400,700,100,300,100,24100,7500,2.55,1.26,0.37,0.17,0.02,0.02,0.07,0.0,0.91,0.26,0.13,0.02,0.06,0.02,4.46,1.39
Finland,2206398.0,5282171467632415183031525306240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,25760258.0,553.06305.97504.7287.24528.6578.27218.3766.36351.7694.8384.16300.63221.19239.96280.43545.54112.07190.65267.05139.1239.38647.78520.6533.683149.22306.274.08421.83142.3523.351465.81334.32185.85814.24616.681064.71432.36705.03340.88663.83132.7723.5337.6195.81366.41458.16389.16119.2123.58,0,0,108500,50400,17500,4600,1400,0,0,44300,15300,3000,700,400,182400,63700,0.0,0.0,0.42,0.2,0.07,0.02,0.01,0.0,0.0,0.17,0.06,0.01,0.0,0.0,0.71,0.25
Germany,25515995.0,161147838922591461411013181011935340512228118621723377210248153631051171601367557620410910051921331731071191051382987977214202981451706891303311100186774510312098188668175871691689020711920488168,0,0,68500,17800,4300,1400,100,0,0,22600,6300,2700,500,0,92100,32100,0.0,0.0,0.27,0.07,0.02,0.01,0.0,0.0,0.0,0.09,0.02,0.01,0.0,0.0,0.36,0.13
Greece,0.0,Information not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Hungary,3204606.0,1130462175323237275163281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,0.0,Information not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not providedInformation not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Ireland,1961534.0,241959.89115.67,0,0,3600,1000,300,0,0,0,0,2700,800,100,0,0,4900,3600,0.0,0.0,0.18,0.05,0.02,0.0,0.0,0.0,0.0,0.14,0.04,0.01,0.0,0.0,0.25,0.18
Italy,14384919.0,116.256274.44352.3490224.903180405.154102.32505.884228.19237277.243105213.75481183.17118.6169378.69260.6449.6134.38118.4697.6654.185231.6135.791287.37269.4247.026211.884.9249.44415.89198.92,40700,318000,32400,23300,10700,6700,1600,30700,312800,28500,15300,7000,3200,800,433400,398300,0.28,2.21,0.23,0.16,0.07,0.05,0.01,0.21,2.17,0.2,0.11,0.05,0.02,0.01,3.01,2.77
Latvia,614618.0,307.2,34200,18900,7100,3000,300,0,0,31200,16400,6200,2200,200,0,0,63500,56200,5.56,3.08,1.16,0.49,0.05,0.0,0.0,5.08,2.67,1.01,0.36,0.03,0.0,0.0,10.33,9.14
Liechtenstein,0.0,Information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
